"x","y","order","group","pathGroup"
0.616666666666667,0.0677966101694915,22,"g","g.1"
0.589583333333333,0.0372881355932203,23,"g","g.1"
0.552083333333333,0.0135593220338983,24,"g","g.1"
0.508333333333333,0,25,"g","g.1"
0.452083333333333,0,26,"g","g.1"
0.414583333333333,0.0101694915254237,27,"g","g.1"
0.389583333333333,0.023728813559322,28,"g","g.1"
0.35625,0.0542372881355932,29,"g","g.1"
0.335416666666667,0.0847457627118644,30,"g","g.1"
0.314583333333333,0.152542372881356,31,"g","g.1"
0.310416666666667,0.186440677966102,32,"g","g.1"
0.310416666666667,0.223728813559322,33,"g","g.1"
0.379166666666667,0.206779661016949,34,"g","g.1"
0.383333333333333,0.176271186440678,35,"g","g.1"
0.39375,0.145762711864407,36,"g","g.1"
0.40625,0.125423728813559,37,"g","g.1"
0.4375,0.101694915254237,38,"g","g.1"
0.460416666666667,0.0949152542372881,39,"g","g.1"
0.502083333333333,0.0949152542372881,40,"g","g.1"
0.525,0.101694915254237,41,"g","g.1"
0.55,0.11864406779661,42,"g","g.1"
0.5625,0.132203389830508,43,"g","g.1"
0.583333333333333,0.169491525423729,44,"g","g.1"
0.597916666666667,0.223728813559322,45,"g","g.1"
0.602083333333333,0.284745762711864,46,"g","g.1"
0.602083333333333,0.372881355932203,47,"g","g.1"
0.6,0.376271186440678,48,"g","g.1"
0.585416666666667,0.349152542372881,49,"g","g.1"
0.560416666666667,0.31864406779661,50,"g","g.1"
0.529166666666667,0.294915254237288,51,"g","g.1"
0.5,0.284745762711864,52,"g","g.1"
0.445833333333333,0.288135593220339,53,"g","g.1"
0.414583333333333,0.301694915254237,54,"g","g.1"
0.391666666666667,0.31864406779661,55,"g","g.1"
0.372916666666667,0.338983050847458,56,"g","g.1"
0.345833333333333,0.383050847457627,57,"g","g.1"
0.31875,0.454237288135593,58,"g","g.1"
0.304166666666667,0.51864406779661,59,"g","g.1"
0.297916666666667,0.566101694915254,60,"g","g.1"
0.295833333333333,0.68135593220339,61,"g","g.1"
0.36875,0.684745762711864,62,"g","g.2"
0.36875,0.606779661016949,63,"g","g.2"
0.377083333333333,0.525423728813559,64,"g","g.2"
0.389583333333333,0.474576271186441,65,"g","g.2"
0.4125,0.427118644067797,66,"g","g.2"
0.44375,0.393220338983051,67,"g","g.2"
0.475,0.379661016949153,68,"g","g.2"
0.5,0.379661016949153,69,"g","g.2"
0.520833333333333,0.386440677966102,70,"g","g.2"
0.554166666666667,0.413559322033898,71,"g","g.2"
0.579166666666667,0.454237288135593,72,"g","g.2"
0.595833333333333,0.505084745762712,73,"g","g.2"
0.60625,0.572881355932203,74,"g","g.2"
0.608333333333333,0.677966101694915,75,"g","g.2"
0.604166666666667,0.728813559322034,76,"g","g.2"
0.589583333333333,0.8,77,"g","g.2"
0.577083333333333,0.830508474576271,78,"g","g.2"
0.552083333333333,0.871186440677966,79,"g","g.2"
0.53125,0.891525423728814,80,"g","g.2"
0.5,0.905084745762712,81,"g","g.2"
0.472916666666667,0.905084745762712,82,"g","g.2"
0.435416666666667,0.884745762711864,83,"g","g.2"
0.4,0.833898305084746,84,"g","g.2"
0.3875,0.803389830508475,85,"g","g.2"
0.372916666666667,0.735593220338983,86,"g","g.2"
0.370833333333333,0.688135593220339,87,"g","g.2"
0.36875,0.684745762711864,88,"g","g.2"
0.295833333333333,0.68135593220339,89,"g","g.1"
0.322916666666667,1,1,"h","h.1"
0.395833333333333,1,2,"h","h.1"
0.397916666666667,0.645614035087719,3,"h","h.1"
0.4375,0.701754385964912,4,"h","h.1"
0.475,0.729824561403509,5,"h","h.1"
0.504166666666667,0.740350877192982,6,"h","h.1"
0.547916666666667,0.740350877192982,7,"h","h.1"
0.579166666666667,0.729824561403509,8,"h","h.1"
0.60625,0.712280701754386,9,"h","h.1"
0.622916666666667,0.694736842105263,10,"h","h.1"
0.65,0.649122807017544,11,"h","h.1"
0.666666666666667,0.585964912280702,12,"h","h.1"
0.672916666666667,0.52280701754386,13,"h","h.1"
0.672916666666667,0,14,"h","h.1"
0.602083333333333,0,15,"h","h.1"
0.6,0.519298245614035,16,"h","h.1"
0.5875,0.575438596491228,17,"h","h.1"
0.570833333333333,0.607017543859649,18,"h","h.1"
0.55,0.628070175438596,19,"h","h.1"
0.51875,0.63859649122807,20,"h","h.1"
0.4875,0.635087719298246,21,"h","h.1"
0.460416666666667,0.621052631578947,22,"h","h.1"
0.439583333333333,0.6,23,"h","h.1"
0.4125,0.550877192982456,24,"h","h.1"
0.4,0.498245614035088,25,"h","h.1"
0.395833333333333,0.456140350877193,26,"h","h.1"
0.395833333333333,0,27,"h","h.1"
0.322916666666667,0,28,"h","h.1"
0.322916666666667,0.996491228070175,29,"h","h.1"
0.322916666666667,1,30,"h","h.1"
0.464583333333333,1,1,"i","i.1"
0.535416666666667,1,2,"i","i.1"
0.535416666666667,0.863157894736842,3,"i","i.1"
0.464583333333333,0.863157894736842,4,"i","i.1"
0.464583333333333,0.996491228070175,5,"i","i.1"
0.464583333333333,1,6,"i","i.1"
0.464583333333333,0.72280701754386,7,"i","i.2"
0.464583333333333,0.719298245614035,8,"i","i.2"
0.464583333333333,0,9,"i","i.2"
0.535416666666667,0,10,"i","i.2"
0.535416666666667,0.72280701754386,11,"i","i.2"
0.464583333333333,0.72280701754386,12,"i","i.2"
0.464583333333333,1,13,"i","i.1"
0.370833333333333,0.016260162601626,1,"j","j.1"
0.372916666666667,0.018970189701897,2,"j","j.1"
0.383333333333333,0.0867208672086721,3,"j","j.1"
0.402083333333333,0.0813008130081301,4,"j","j.1"
0.435416666666667,0.0840108401084011,5,"j","j.1"
0.452083333333333,0.100271002710027,6,"j","j.1"
0.460416666666667,0.130081300813008,7,"j","j.1"
0.4625,0.785907859078591,8,"j","j.1"
0.533333333333333,0.785907859078591,9,"j","j.1"
0.53125,0.119241192411924,10,"j","j.1"
0.516666666666667,0.0569105691056911,11,"j","j.1"
0.497916666666667,0.02710027100271,12,"j","j.1"
0.477083333333333,0.010840108401084,13,"j","j.1"
0.445833333333333,0,14,"j","j.1"
0.404166666666667,0,15,"j","j.1"
0.370833333333333,0.00813008130081301,16,"j","j.1"
0.370833333333333,0.016260162601626,17,"j","j.1"
0.4625,0.894308943089431,18,"j","j.2"
0.533333333333333,0.894308943089431,19,"j","j.2"
0.533333333333333,1,20,"j","j.2"
0.4625,1,21,"j","j.2"
0.4625,0.897018970189702,22,"j","j.2"
0.4625,0.894308943089431,23,"j","j.2"
0.370833333333333,0.016260162601626,24,"j","j.1"
0.35,1,1,"k","k.1"
0.420833333333333,1,2,"k","k.1"
0.422916666666667,0.431578947368421,3,"k","k.1"
0.59375,0.72280701754386,4,"k","k.1"
0.683333333333333,0.72280701754386,5,"k","k.1"
0.522916666666667,0.456140350877193,6,"k","k.1"
0.702083333333333,0.00701754385964912,7,"k","k.1"
0.702083333333333,0,8,"k","k.1"
0.616666666666667,0,9,"k","k.1"
0.472916666666667,0.371929824561403,10,"k","k.1"
0.420833333333333,0.287719298245614,11,"k","k.1"
0.420833333333333,0,12,"k","k.1"
0.35,0,13,"k","k.1"
0.35,0.996491228070175,14,"k","k.1"
